city,state,coast,title,price,link,room_type,max_guests,num_rooms,num_beds,num_baths,rating,reviews,rating_Cleanliness,rating_Accuracy,rating_Communication,rating_Location,rating_Check-in,rating_Value,superhost,house_rules,num_of_amenities,available_amenities
Dallas,Texas,Central,"New, Cozy 1B w/Pool & Gym | 15 min from DT Dallas","$107 
$70 
night
$70 per night, originally $107",https://www.airbnb.com/rooms/735010470383271224?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Condo in Dallas,2,1,1,1.0,4.69 ,16,4.6,4.6,4.9,4.5,4.9,4.5,Superhost,"['2 guests maximum', 'Pets allowed', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",43,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Pets allowed']"
Dallas,Texas,Central,"Classy, sleek, KING bed, Wi-Fi","$103 
$92 
night
$92 per night, originally $103",https://www.airbnb.com/rooms/800105109492997683?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Apartment in Farmers Branch,3,1,1,1.0,5.0 ,12,5.0,5.0,5.0,4.8,4.6,4.9,Superhost,"['3 guests maximum', 'No pets', 'Check-in: 4:00 PM - 12:00 AM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with keypad', 'Commercial photography allowed', 'No parties or events', 'No smoking']",39,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV']"
Dallas,Texas,Central,"Beautiful Bedroom Self Checkin 50"" TV WIFI","$33 
night
$33 per night",https://www.airbnb.com/rooms/43465304?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Private room in Dallas,2,1,1,2.0,4.18 ,100,4.0,4.4,4.5,4.5,4.6,4.3,-,"['2 guests maximum', 'No pets', 'Check-in: 3:00 PM - 2:00 AM', 'Checkout before 11:00 AM', 'Self check-in with smart lock', 'No parties or events', 'No smoking']",45,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'TV']"
Dallas,Texas,Central,Abode | Dallas | Hip Loft in the Heart of Downtown,"$104 
$82 
night
$82 per night, originally $104",https://www.airbnb.com/rooms/41653082?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Apartment in Dallas,4,1,2,1.0,4.41 ,283,4.6,4.5,4.4,4.3,4.2,4.4,-,"['4 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",23,"['Kitchen', 'Wifi', 'Pool', 'TV with Roku', 'Elevator']"
Dallas,Texas,Central,High-End Oaklawn Getaway ★ Rooftop Terrace ★ Views,"$159 
night
$159 per night",https://www.airbnb.com/rooms/641505399894568670?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Townhouse in Dallas,8,2,3,25.0,4.98 ,43,5.0,5.0,5.0,5.0,5.0,5.0,Superhost,"['8 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with smart lock', 'No parties or events', 'No smoking']",55,"['City skyline view', 'Kitchen', 'Wifi', 'Free parking garage on premises', '65"" HDTV with HBO Max, Disney+, Netflix, Amazon Prime Video, Hulu']"
Dallas,Texas,Central,"The Art Cottage - Paintings, Color and Fun!","$129 
$110 
night
$110 per night, originally $129",https://www.airbnb.com/rooms/624866257203197934?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Home in Dallas,5,2,2,1.0,5.0 ,84,4.9,5.0,5.0,5.0,5.0,4.9,Superhost,"['5 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",58,"['Kitchen', 'Fast wifi – 124 Mbps', 'Dedicated workspace', 'Free parking on premises', 'HDTV']"
Dallas,Texas,Central,Dallas at your doorstep! /Private guest suite,"$75 
night
$75 per night",https://www.airbnb.com/rooms/14386734?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-27&check_out=2023-06-01&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Private room in Dallas,2,1,2,1.0,4.97 ,354,4.9,5.0,5.0,4.9,5.0,5.0,Superhost,"['2 guests maximum', 'No pets', 'Flexible check-in', 'Checkout before 1:00 PM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",36,"['Garden view', 'Fast wifi – 52 Mbps', 'Free street parking', '32"" HDTV with HBO Max, Hulu, Netflix, standard cable', 'Central air conditioning']"
Dallas,Texas,Central,Classic Clean Craftsman - Backyard+King Bed+Baylor,"$93 
$79 
night
$79 per night, originally $93",https://www.airbnb.com/rooms/33473101?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-07&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Bungalow in Dallas,2,1,1,1.0,4.71 ,147,4.7,4.8,4.8,4.7,4.9,4.8,-,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with smart lock', 'No parties or events', 'No smoking']",27,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning']"
Dallas,Texas,Central,Luxury 2BD HighRise Downtown Dallas|POOL+GYM,"$201 
$86 
night
$86 per night, originally $201",https://www.airbnb.com/rooms/770542153435754278?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Apartment in Dallas,6,1,1,2.0,5.0 ,13,5.0,4.9,4.8,5.0,4.4,5.0,Superhost,"['6 guests maximum', 'Pets allowed', 'Check-in: 4:00 PM - 12:00 AM', 'Checkout before 10:00 AM', 'Quiet hours', 'Self check-in with smart lock', 'No commercial photography', 'No parties or events', 'No smoking']",49,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool']"
Dallas,Texas,Central,"Beautiful 1BR Uptown Dallas, Top Floor","$102 
$77 
night
$77 per night, originally $102",https://www.airbnb.com/rooms/49203511?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=f38391c2-6ee0-44a6-9679-af1ae4f15f09,Apartment in Dallas,3,1,1,1.0,4.88 ,56,5.0,5.0,4.9,5.0,5.0,4.8,Superhost,"['', '', '', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",55,"['Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space']"
