city,state,coast,title,price,link,room_type,max_guests,num_rooms,num_beds,num_baths,rating,reviews,rating_Cleanliness,rating_Accuracy,rating_Communication,rating_Location,rating_Check-in,rating_Value,superhost,house_rules,num_of_amenities,available_amenities
Washington,D.C.,East,PRO CLEANED! AMAZING Location - Steps 2 Union Stn!,"$229 
$111 
night
$111 per night, originally $229",https://www.airbnb.com/rooms/37881373?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-02&check_out=2023-05-07&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,2,1,1,1.0,4.82 ,74,5.0,4.9,5.0,5.0,4.9,4.7,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 10:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",27,"['Kitchen', 'Wifi', 'Dedicated workspace', 'TV', 'Washer']"
Washington,D.C.,East,"Mellow travelers welcome, share bathroom, friendly","$67 
night
$67 per night",https://www.airbnb.com/rooms/50545033?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Private room in Washington,1,1,1,1.0,4.94 ,84,4.8,5.0,5.0,5.0,5.0,4.9,Superhost,"['', '', '', '', 'Quiet hours', 'Self check-in with keypad', 'No commercial photography', 'No parties or events', 'No smoking']",29,"['Fast wifi – 54 Mbps', 'Central air conditioning', 'Portable air conditioning', 'Bathtub', 'Luggage dropoff allowed']"
Washington,D.C.,East,Premium King B - Yotel Washington DC,"$230 
$178 
night
$178 per night, originally $230",https://www.airbnb.com/rooms/52255241?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Hotel room in Washington,2,1,1,1.0,4.54 ,74,4.9,4.7,4.6,4.8,4.7,4.3,-,"['2 guests maximum', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM']",8,"['Wifi', 'TV', 'Air conditioning', 'Hair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
Washington,D.C.,East,"Cute and Convenient, 5 mins to Metro","$85 
night
$85 per night",https://www.airbnb.com/rooms/866023355251270757?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,4,1,2,1.0,-,-,-,-,-,-,-,-,-,"['4 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 12:00 PM', 'Quiet hours', 'Self check-in with keypad', 'No commercial photography', 'No parties or events', 'No smoking']",43,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'TV']"
Washington,D.C.,East,5 Star Cap Hill Apt-Free Parking-Best Location!,"$124 
night
$124 per night",https://www.airbnb.com/rooms/38478357?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,2,1,1,1.0,4.99 ,352,5.0,5.0,5.0,5.0,5.0,5.0,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",44,"['Park view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking']"
Washington,D.C.,East,Capitol Hill Charm ~ Modern Refinement,"$104 
night
$104 per night",https://www.airbnb.com/rooms/42073006?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-24&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,3,1,2,1.0,4.96 ,113,5.0,5.0,4.9,4.9,5.0,4.9,Superhost,"['3 guests maximum', 'Pets allowed', 'Check-in after 3:00 PM', 'Checkout before 10:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",59,"['Kitchen', 'Fast wifi – 220 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed']"
Washington,D.C.,East,Newly renovated studio apartment,"$93 
$84 
night
$84 per night, originally $93",https://www.airbnb.com/rooms/660922786043660705?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,2,1,1,1.0,5.0 ,8,5.0,5.0,5.0,5.0,5.0,5.0,-,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 10:00 AM', 'Quiet hours', 'Self check-in with keypad', 'No commercial photography', 'No parties or events', 'No smoking']",30,"['Kitchen', 'Wifi', 'TV', 'Air conditioning', 'Hair dryer']"
Washington,D.C.,East,"Private bath, peace community, twin/sofa beds, cat","$77 
night
$77 per night",https://www.airbnb.com/rooms/50499105?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Private room in Washington,2,1,2,1.0,4.96 ,69,4.9,5.0,5.0,5.0,5.0,5.0,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 1:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with keypad', 'No commercial photography', 'No parties or events', 'No smoking']",40,"['Fast wifi – 65 Mbps', 'Dedicated workspace', 'Central air conditioning', 'Portable air conditioning', 'Bathtub']"
Washington,D.C.,East,Serene Flat at U/14th St in Shaw on Quaint Swann,"$118 
$106 
night
$106 per night, originally $118",https://www.airbnb.com/rooms/26452635?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Loft in Washington,2,1,1,1.0,4.87 ,171,4.9,4.9,4.9,5.0,4.9,4.8,Superhost,"['', '', '', 'Checkout before 10:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",42,"['Wifi', 'Dedicated workspace', 'HDTV with Netflix', 'Free washer – In unit', 'Free dryer – In unit']"
Washington,D.C.,East,1BR Suite in the Heart of Things,"$92 
night
$92 per night",https://www.airbnb.com/rooms/945426?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-24&check_out=2023-06-29&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Private room in Washington,2,1,1,1.0,4.96 ,416,4.9,5.0,5.0,5.0,5.0,4.9,Superhost,"['2 guests maximum', 'No pets', 'Check-in: 12:00 PM - 10:00 PM', 'No parties or events', 'No smoking']",31,"['Wifi', 'Dedicated workspace', 'Free street parking', 'TV with standard cable', 'Elevator']"
Washington,D.C.,East,Upscale Bohemian Vibes in Shaw,"$195 
night
$195 per night",https://www.airbnb.com/rooms/876719286181424802?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-29&check_out=2023-06-03&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,4,1,2,1.0,-,-,-,-,-,-,-,-,Superhost,"['4 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with lockbox', 'No commercial photography', 'No parties or events', 'No smoking']",12,"['Kitchen', 'Wifi', 'TV', 'Washer', 'Air conditioning']"
Washington,D.C.,East,Union Market Garden Apartment,"$175 
night
$175 per night",https://www.airbnb.com/rooms/38698346?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-04&check_out=2023-06-09&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,4,1,2,1.0,4.86 ,440,4.9,4.9,5.0,4.9,4.9,4.8,Superhost,"['4 guests maximum', 'Pets allowed', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",35,"['Kitchen', 'Wifi', 'Free street parking', 'Pets allowed', 'Washer']"
Washington,D.C.,East,Renovated Studio 300ft to Metro!!!,"$80 
night
$80 per night",https://www.airbnb.com/rooms/594343354732907075?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Townhouse in Washington,4,1,2,1.0,4.93 ,92,4.9,5.0,5.0,4.9,5.0,4.9,Superhost,"['4 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",36,"['Kitchen', 'Wifi', 'TV', 'Washer', 'Free dryer – In unit']"
Washington,D.C.,East,Georgetown Modern Chic 1 Bedroom,"$150 
night
$150 per night",https://www.airbnb.com/rooms/17044362?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,2,1,1,1.0,4.98 ,245,5.0,5.0,5.0,5.0,5.0,4.9,Superhost,"['', '', '', '', 'No parties or events', 'No smoking']",51,"['Kitchen', 'Wifi', 'Dedicated workspace', 'HDTV with Netflix, premium cable, HBO Max', 'Free washer – In unit']"
Washington,D.C.,East,"Capitol Hill close-in 1BR, sleeps 4, newly updated","$122 
night
$122 per night",https://www.airbnb.com/rooms/37185264?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-10-03&check_out=2023-10-08&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Home in Washington,4,1,4,1.0,4.92 ,181,4.9,4.9,5.0,5.0,5.0,4.9,Superhost,"['4 guests maximum', 'No pets', 'Check-in: 4:00 PM - 12:00 AM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",49,"['Kitchen', 'Fast wifi – 51 Mbps', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Hulu']"
Washington,D.C.,East,An oasis in Glover Park,"$167 
night
$167 per night",https://www.airbnb.com/rooms/841380785204766229?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-12&check_out=2023-06-17&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Home in Washington,6,1,2,1.0,5.0 ,7,5.0,4.9,5.0,5.0,5.0,4.7,-,"['6 guests maximum', 'Pets allowed', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No commercial photography', 'No smoking']",52,"['Garden view', 'Park view', 'Kitchen', 'Wifi', 'Dedicated workspace']"
Washington,D.C.,East,"Modern Apt, Sleeps 4, Walk to Metro, Zoo + Parking","$155 
night
$155 per night",https://www.airbnb.com/rooms/50067375?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Home in Washington,5,1,2,1.0,4.90 ,78,4.9,4.8,5.0,5.0,5.0,4.9,Superhost,"['5 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",57,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking']"
Washington,D.C.,East,English Basement in Woodley Park with Parking,"$100 
night
$100 per night",https://www.airbnb.com/rooms/16716427?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&previous_page_section_name=1000&federated_search_id=f695ac92-b85f-45fd-92a0-fe1dff09646f,Apartment in Washington,3,1,3,1.0,4.95 ,368,5.0,5.0,5.0,5.0,5.0,4.9,Superhost,"['3 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",56,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with Netflix, Roku, Disney+', 'Washer']"
Washington,D.C.,East,Center of the City,"$87 
$78 
night
$78 per night, originally $87",https://www.airbnb.com/rooms/22508080?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Guest suite in Washington,3,1,2,1.0,5.0 ,5,5.0,5.0,5.0,5.0,5.0,5.0,-,"['3 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with keypad', 'No commercial photography', 'No parties or events', 'No smoking']",38,"['Wifi', 'Free parking on premises', '50"" HDTV with Roku', 'Air conditioning', 'Pack ’n play/Travel crib - always at the listing']"
Washington,D.C.,East,Cozy in Takoma Park,"$75 
night
$75 per night",https://www.airbnb.com/rooms/813283477103334155?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-07&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Home in Takoma Park,2,1,1,1.0,4.0 ,13,3.7,4.3,4.5,4.8,4.5,4.2,-,"['2 guests maximum', 'Pets allowed', 'Check-in after 3:00 PM', 'Self check-in with lockbox']",32,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'Air conditioning']"
Washington,D.C.,East,Comfortable & Spacious Studio in Great Location,"$91 
night
$91 per night",https://www.airbnb.com/rooms/43939342?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-11-18&check_out=2023-11-23&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Apartment in Washington,4,1,2,1.0,4.92 ,107,4.9,5.0,5.0,4.9,5.0,4.8,Superhost,"['4 guests maximum', 'Pets allowed', 'Check-in after 3:00 PM', 'Checkout before 12:00 PM', 'Self check-in with keypad', 'No smoking']",47,"['Kitchen', 'Fast wifi – 100 Mbps', 'Dedicated workspace', 'Free street parking', 'Pets allowed']"
Washington,D.C.,East,Private Room on Capitol Hill/H Street Corridor,"$60 
night
$60 per night",https://www.airbnb.com/rooms/20126341?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Private room in Washington,2,1,1,1.0,4.93 ,181,5.0,5.0,5.0,5.0,5.0,4.9,Superhost,"['2 guests maximum', 'No pets', 'Check-in: 3:00 PM - 10:00 PM', 'Checkout before 10:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",28,"['Kitchen', 'Wifi', 'Air conditioning', 'Hair dryer', 'Refrigerator']"
Washington,D.C.,East,Queen Bedroom in H ST / Capitol Hill Rowhome,"$72 
night
$72 per night",https://www.airbnb.com/rooms/16380562?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-18&check_out=2023-05-24&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Private room in Washington,2,1,1,15.0,4.93 ,470,4.9,5.0,4.9,4.8,5.0,4.9,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 10:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",37,"['Fast wifi – 235 Mbps', 'Dedicated workspace', 'Central air conditioning', 'Hair dryer', 'Microwave']"
Washington,D.C.,East,"Best in Chevy Chase DC Big, Sleeps 4-5, nr Metro","$145 
night
$145 per night",https://www.airbnb.com/rooms/574174588340504989?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-26&check_out=2023-07-01&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Apartment in Washington,5,1,3,1.0,4.88 ,59,5.0,4.9,4.9,5.0,4.9,4.8,Superhost,"['5 guests maximum', 'Pets allowed', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'No parties or events', 'No smoking']",57,"['Kitchen', 'Fast wifi – 188 Mbps', 'Dedicated workspace', 'Free street parking', 'Pets allowed']"
Washington,D.C.,East,Cozy DC apartment great for longer stays,"$74 
night
$74 per night",https://www.airbnb.com/rooms/6247860?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Apartment in Washington,3,1,1,1.0,4.58 ,317,4.4,4.8,4.9,4.7,4.9,4.7,Superhost,"['', '', '', 'Checkout before 11:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",38,"['Kitchen', 'Wifi', 'Free street parking', 'Free washer – In unit', 'Free dryer – In unit']"
Washington,D.C.,East,Heart of Georgetown charming apartment!,"$126 
night
$126 per night",https://www.airbnb.com/rooms/19872890?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Apartment in Washington,2,1,2,1.0,4.93 ,254,4.8,5.0,5.0,5.0,5.0,4.9,Superhost,"['', '', '', 'Checkout before 11:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",36,"['Kitchen', 'Wifi', 'Free street parking', 'Free washer – In unit', 'Free dryer – In unit']"
Washington,D.C.,East,NEW East Capitol Hill Studio ~ W/D & Parking!,"$136 
$96 
night
$96 per night, originally $136",https://www.airbnb.com/rooms/606463391975648657?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-02&check_out=2023-05-07&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Apartment in Washington,2,1,1,1.0,4.82 ,11,4.8,4.8,4.8,4.3,4.9,4.5,Superhost,"['', '', '', '', 'Self check-in with keypad', 'No parties or events', 'No smoking']",28,"['Kitchen', 'Wifi', 'Dedicated workspace', 'TV', 'Washer']"
Washington,D.C.,East,Beautiful Cozy Yellow Room/Metro 12 min walk!,"$79 
night
$79 per night",https://www.airbnb.com/rooms/15963788?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-29&check_out=2023-06-03&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Private room in Washington,2,1,1,1.0,4.93 ,244,5.0,5.0,4.9,4.9,5.0,4.9,-,"['2 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'No parties or events', 'No smoking']",20,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Air conditioning', 'Hair dryer']"
Washington,D.C.,East,1 Bedroom Garden Apartment in DC,"$91 
night
$91 per night",https://www.airbnb.com/rooms/765140540246353688?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Home in Washington,4,1,2,1.0,5.0 ,9,4.8,5.0,5.0,4.9,5.0,5.0,-,"['4 guests maximum', 'Pets allowed', 'Check-in: 3:00 PM - 11:00 PM', 'Checkout before 12:00 PM', 'Self check-in with smart lock', 'No commercial photography', 'No parties or events', 'No smoking']",48,"['Kitchen', 'Wifi', 'Free street parking', 'Pets allowed', 'TV']"
Washington,D.C.,East,Edil,"$37 
night
$37 per night",https://www.airbnb.com/rooms/648625114894421669?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-29&check_out=2023-06-04&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Private room in Washington,1,1,1,2.0,4.57 ,7,4.9,4.9,5.0,4.7,4.3,4.6,-,"['1 guest maximum', 'No pets', 'Check-in after 3:00 PM', 'Quiet hours', 'Self check-in with keypad', 'No commercial photography', 'No parties or events', 'No smoking']",39,"['Kitchen', 'Wifi', 'Free street parking', 'TV', 'Window AC unit']"
Washington,D.C.,East,Apartment near Rock Creek Park,"$70 
$62 
night
$62 per night, originally $70",https://www.airbnb.com/rooms/723716?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-10&check_out=2023-05-16&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Apartment in Washington,1,1,1,1.0,4.42 ,19,4.6,4.7,4.8,4.7,4.9,4.7,-,"['1 guest maximum', 'Pets allowed', 'Check-in: 1:00 PM - 11:00 PM', 'Checkout before 12:00 PM', 'No parties or events', 'No smoking']",23,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'Washer']"
Washington,D.C.,East,Explore DC from this Stylish English Basement Apt.,"$96 
night
$96 per night",https://www.airbnb.com/rooms/27148863?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Apartment in Washington,2,1,1,1.0,4.97 ,113,5.0,5.0,5.0,4.8,5.0,5.0,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with smart lock', 'No parties or events', 'No smoking']",41,"['Kitchen', 'Fast wifi – 645 Mbps', 'Free street parking', 'TV with standard cable', 'Free washer – In unit']"
Washington,D.C.,East,Cozy Family In-Law Suite,"$109 
night
$109 per night",https://www.airbnb.com/rooms/879752988434866586?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-30&check_out=2023-06-04&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Home in Washington,4,2,2,1.0,-,-,-,-,-,-,-,-,-,"['4 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with lockbox', 'No commercial photography', 'No parties or events', 'No smoking']",49,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV']"
Washington,D.C.,East,Be a guest at our private floor suite!,"$65 
$46 
night
$46 per night, originally $65",https://www.airbnb.com/rooms/2143586?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2024-04-07&check_out=2024-04-14&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Private room in Arlington,2,1,1,1.0,4.91 ,47,4.8,4.9,5.0,4.7,5.0,4.9,Superhost,['2 guests maximum'],36,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Washer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
Washington,D.C.,East,Cozy slice of DC will meet your needs,"$60 
night
$60 per night",https://www.airbnb.com/rooms/872604886522040664?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-04&check_out=2023-06-09&previous_page_section_name=1000&federated_search_id=766b8ba7-2fba-4c83-8809-a9d3af267dc4,Guest suite in Washington,4,1,2,1.0,-,-,-,-,-,-,-,-,-,"['4 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with keypad', 'Commercial photography allowed', 'No parties or events', 'No smoking']",41,"['City skyline view', 'River view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
