city,state,coast,title,price,link,room_type,max_guests,num_rooms,num_beds,num_baths,rating,reviews,rating_Cleanliness,rating_Accuracy,rating_Communication,rating_Location,rating_Check-in,rating_Value,superhost,house_rules,num_of_amenities,available_amenities
Manchester,New Hampshire,North,Artist's Retreat [Close to Downtown],"$95 
night
$95 per night",https://www.airbnb.com/rooms/49502760?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Apartment in Manchester,2,1,1,0.0,4.95 ,76,5.0,4.9,4.9,4.8,4.9,4.9,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 10:00 AM', 'Quiet hours', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",54,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '32"" HDTV with Roku']"
Manchester,New Hampshire,North,[Pet Friendly] The Enchanted Garden,"$103 
$88 
night
$88 per night, originally $103",https://www.airbnb.com/rooms/49857265?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-02&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Apartment in Manchester,2,1,1,0.0,4.90 ,62,4.9,5.0,4.8,4.8,4.9,4.9,Superhost,"['2 guests maximum', 'Pets allowed', 'Check-in after 3:00 PM', 'Checkout before 10:00 AM', 'Quiet hours', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",46,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed']"
Manchester,New Hampshire,North,Great Space at a reasonable price.,"$63 
night
$63 per night",https://www.airbnb.com/rooms/30380970?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-21&check_out=2023-05-26&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Apartment in Manchester,4,2,2,1.0,4.66 ,203,4.7,4.8,4.8,4.8,4.8,4.7,-,"['', '', '', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",23,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'TV']"
Manchester,New Hampshire,North,Secure Access Loft,"$89 
night
$89 per night",https://www.airbnb.com/rooms/45120932?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-19&check_out=2023-06-24&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Loft in Manchester,2,1,1,1.0,4.83 ,29,4.9,4.9,4.9,5.0,4.9,4.8,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 10:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",44,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Elevator']"
Manchester,New Hampshire,North,Unique Downtown Manchester Flat,"$125 
night
$125 per night",https://www.airbnb.com/rooms/53833033?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-11&check_out=2023-05-16&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Condo in Manchester,4,1,3,1.0,4.91 ,74,5.0,5.0,4.9,5.0,4.9,4.8,Superhost,"['', '', '', 'Checkout before 12:00 PM', 'Self check-in with smart lock', 'No parties or events', 'No smoking']",51,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '42"" HDTV with Roku']"
Manchester,New Hampshire,North,Minutes from all major highways and restaurants.,"$70 
$56 
night
$56 per night, originally $70",https://www.airbnb.com/rooms/880179502318568139?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Private room in Hooksett,2,1,1,1.0,-,-,-,-,-,-,-,-,Superhost,"['2 guests maximum', 'No pets', 'Check-in: 3:00 PM - 10:00 PM', 'Checkout before 12:00 PM', 'No parties or events', 'No smoking']",34,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV']"
Manchester,New Hampshire,North,Cozy Private Suite in Manchester 2 mi from Airport,"$75 
night
$75 per night",https://www.airbnb.com/rooms/556101102447942758?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Private room in Manchester,2,1,1,1.0,4.93 ,147,5.0,5.0,5.0,4.8,5.0,4.9,Superhost,"['2 guests maximum', 'No pets', 'Check-in: 2:00 PM - 11:00 PM', 'Checkout before 10:00 AM', 'Quiet hours', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",45,"['Garden view', 'Fast wifi – 438 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', '42"" HDTV with Fire TV, Netflix, Roku']"
Manchester,New Hampshire,North,Simple Studio downtown Manchester NH,"$70 
night
$70 per night",https://www.airbnb.com/rooms/18432239?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Apartment in Manchester,2,1,1,1.0,4.46 ,101,4.8,4.7,4.6,4.3,4.9,4.5,-,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",33,"['Vineyard view', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable']"
Manchester,New Hampshire,North,Lux Downtown Oasis ~ Queen Bed ~ Coffee Bar ~ PRKG,"$168 
$151 
night
$151 per night, originally $168",https://www.airbnb.com/rooms/648332226896098634?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Condo in Manchester,4,2,3,15.0,5.0 ,48,5.0,5.0,5.0,5.0,5.0,4.9,Superhost,"['4 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with smart lock', 'Commercial photography allowed', 'No parties or events', 'No smoking']",65,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 1 space', 'HDTV with Amazon Prime Video, Fire TV, Hulu, Netflix, standard cable']"
Manchester,New Hampshire,North,Spruce Studio (5 Minutes from Downtown & Elm St.),"$75 
night
$75 per night",https://www.airbnb.com/rooms/45920552?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=c0621695-ff0b-4fb4-8bc7-dae03413bdff,Guesthouse in Manchester,2,1,1,1.0,4.88 ,139,4.9,4.9,4.9,4.8,4.9,4.8,Superhost,"['', '', '', 'Checkout before 10:00 AM', 'Self check-in with lockbox', 'No parties or events', 'No smoking']",43,"['Fast wifi – 231 Mbps', 'Dedicated workspace', 'Free street parking', '32"" HDTV', 'Luggage dropoff allowed']"
