title,price,link
Hotel room in San Francisco,"$126 
$111 
night
$111 per night, originally $126",https://www.airbnb.com/rooms/51756252?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$92 
$62 
night
$62 per night, originally $92",https://www.airbnb.com/rooms/28935882?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-21&check_out=2023-05-26&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Hotel room in San Francisco,"$158 
$139 
night
$139 per night, originally $158",https://www.airbnb.com/rooms/51790196?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$76 
$65 
night
$65 per night, originally $76",https://www.airbnb.com/rooms/727020706003694659?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$75 
$60 
night
$60 per night, originally $75",https://www.airbnb.com/rooms/648545594256455054?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-25&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$66 
night
$66 per night",https://www.airbnb.com/rooms/51473651?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-15&check_out=2023-05-20&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Guest suite in Daly City,"$183 
night
$183 per night",https://www.airbnb.com/rooms/39653321?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-29&check_out=2023-05-04&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$138 
$110 
night
$110 per night, originally $138",https://www.airbnb.com/rooms/866785294233700639?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Shared room in San Francisco,"$42 
night
$42 per night",https://www.airbnb.com/rooms/51621893?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Guest suite in San Francisco,"$143 
$113 
night
$113 per night, originally $143",https://www.airbnb.com/rooms/23209264?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-13&check_out=2023-05-18&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in South San Francisco,"$51 
night
$51 per night",https://www.airbnb.com/rooms/781023713733771997?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-16&check_out=2023-05-22&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Guest suite in San Francisco,"$194 
night
$194 per night",https://www.airbnb.com/rooms/13845578?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-27&check_out=2023-05-02&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$75 
night
$75 per night",https://www.airbnb.com/rooms/35809668?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$83 
$50 
night
$50 per night, originally $83",https://www.airbnb.com/rooms/617452165515743153?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$60 
$54 
night
$54 per night, originally $60",https://www.airbnb.com/rooms/598112337364714927?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-01&check_out=2023-06-08&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$74 
$57 
night
$57 per night, originally $74",https://www.airbnb.com/rooms/39996711?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$74 
$53 
night
$53 per night, originally $74",https://www.airbnb.com/rooms/35773104?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-02&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$71 
night
$71 per night",https://www.airbnb.com/rooms/690193375801701189?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-07-01&check_out=2023-07-06&previous_page_section_name=1000&federated_search_id=5815d214-b164-4728-914a-ef300d97e7d7
Private room in San Francisco,"$65 
night
$65 per night",https://www.airbnb.com/rooms/857998906734646510?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in South San Francisco,"$63 
$51 
night
$51 per night, originally $63",https://www.airbnb.com/rooms/21438452?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$78 
night
$78 per night",https://www.airbnb.com/rooms/220418?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Hotel room in San Francisco,"$198 
$171 
night
$171 per night, originally $198",https://www.airbnb.com/rooms/51433945?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-24&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$53 
night
$53 per night",https://www.airbnb.com/rooms/600591926029634502?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$93 
$82 
night
$82 per night, originally $93",https://www.airbnb.com/rooms/737277679357691697?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in Foster City,"$50 
night
$50 per night",https://www.airbnb.com/rooms/868375495900940696?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-30&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$76 
$67 
night
$67 per night, originally $76",https://www.airbnb.com/rooms/815561340398335999?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$133 
$98 
night
$98 per night, originally $133",https://www.airbnb.com/rooms/36021015?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$91 
night
$91 per night",https://www.airbnb.com/rooms/14386727?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-24&check_out=2023-05-01&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$56 
night
$56 per night",https://www.airbnb.com/rooms/665189829556985935?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-14&check_out=2023-05-19&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Apartment in South San Francisco,"$80 
$53 
night
$53 per night, originally $80",https://www.airbnb.com/rooms/818950065108587830?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$150 
$73 
night
$73 per night, originally $150",https://www.airbnb.com/rooms/25434116?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-24&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in Daly City,"$69 
night
$69 per night",https://www.airbnb.com/rooms/18347219?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Shared room in San Francisco,"$47 
$37 
night
$37 per night, originally $47",https://www.airbnb.com/rooms/35494221?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Guest suite in Daly City,"$80 
night
$80 per night",https://www.airbnb.com/rooms/869566143342911871?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$50 
night
$50 per night",https://www.airbnb.com/rooms/16858141?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-20&check_out=2023-04-27&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
