city,state,coast,title,price,link,room_type,max_guests,num_rooms,num_beds,num_baths,rating,reviews,rating_Cleanliness,rating_Accuracy,rating_Communication,rating_Location,rating_Check-in,rating_Value,superhost,house_rules,num_of_amenities,available_amenities
Miami,Florida,South,Local & Affordable,"$72 
$57 
night
$57 per night, originally $72",https://www.airbnb.com/rooms/880012448518188709?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Home in Miami,4,1,3,1.0,-,-,-,-,-,-,-,-,Superhost,"['4 guests maximum', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM']",8,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
Miami,Florida,South,Cozy 1/1 Miami Apt w Kitchen/Wifi Close to Airport,"$222 
$53 
night
$53 per night, originally $222",https://www.airbnb.com/rooms/31176594?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Apartment in Miami,3,1,1,1.0,4.76 ,170,4.8,4.8,4.8,4.7,4.9,4.7,-,"['3 guests maximum', 'Pets allowed', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",43,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 5 spaces', 'Pets allowed']"
Miami,Florida,South,K - Cozy room with Private Entrance (Apt 3),"$70 
$37 
night
$37 per night, originally $70",https://www.airbnb.com/rooms/35180210?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-10&check_out=2023-05-15&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Private room in Miami,2,1,1,1.0,4.63 ,150,4.5,4.8,4.8,4.8,4.9,4.7,-,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",32,"['Kitchen', 'Wifi', 'Free street parking', 'TV', 'Air conditioning']"
Miami,Florida,South,-Central & Cozy Studio- Coconut Grove,"$105 
$82 
night
$82 per night, originally $105",https://www.airbnb.com/rooms/47581258?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-12&check_out=2023-05-18&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Apartment in Miami,2,1,1,1.0,4.33 ,310,4.6,4.5,4.7,4.5,4.6,4.3,-,"['2 guests maximum', 'No pets', 'Check-in: 4:00 PM - 2:00 AM', 'Checkout before 11:00 AM', 'Self check-in with smart lock', 'No parties or events', 'No smoking']",32,"['Kitchen', 'Wifi', 'Free parking garage on premises – 1 space', '32"" HDTV with Roku', 'Elevator', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
Miami,Florida,South,Wonderful 1 BR Apartment At Downtown Miami,"$224 
$104 
night
$104 per night, originally $224",https://www.airbnb.com/rooms/655683536385213339?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Condo in Miami,0,0,0,0,4.68 ,34,,,,,,,-,[],0,"['', '', '', '', '', '']"
Miami,Florida,South,Amazing Studio Residence 15 min from the beach,"$90 
$59 
night
$59 per night, originally $90",https://www.airbnb.com/rooms/757825032286554711?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Condo in Miami,0,0,0,0,4.73 ,15,,,,,,,-,[],0,"['', '', '', '', '', '', '']"
Miami,Florida,South,At Mine | Oriental Zen Queen Suite in Miami,"$143 
$79 
night
$79 per night, originally $143",https://www.airbnb.com/rooms/716706403752860815?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Apartment in Miami,2,1,1,1.0,4.92 ,243,4.9,4.8,5.0,4.8,5.0,4.8,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'No parties or events', 'No smoking']",27,"['Wifi', 'Dedicated workspace', 'Free residential garage on premises', 'TV with Netflix', 'AC - split type ductless system']"
Miami,Florida,South,"""Casa Mia's"" pool & BBQ bungalow","$158 
night
$158 per night",https://www.airbnb.com/rooms/13752224?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-22&check_out=2023-05-27&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Guest suite in Miami,4,1,2,1.0,4.97 ,218,5.0,5.0,5.0,4.9,5.0,4.9,Superhost,"['', '', '', 'Checkout before 11:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",52,"['Garden view', 'Courtyard view', 'Beach access', 'Kitchen', 'Wifi', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
Miami,Florida,South,Design District Stylish Studio,"$100 
night
$100 per night",https://www.airbnb.com/rooms/834833864568549748?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-22&check_out=2023-05-27&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Apartment in Miami,4,1,2,1.0,4.97 ,86,4.9,4.9,5.0,4.9,5.0,4.9,Superhost,"['4 guests maximum', 'Check-in after 3:00 PM']",11,"['Kitchen', 'Wifi', 'Dedicated workspace', 'TV', 'Washer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
Miami,Florida,South,Cozy stay in artsy space for female travelers,"$60 
$34 
night
$34 per night, originally $60",https://www.airbnb.com/rooms/801364143967339877?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=8e50ddab-438a-4b56-b535-d57e1ccee496,Shared room in North Miami,1,1,1,1.0,-,-,-,-,-,-,-,-,-,"['1 guest maximum', 'No pets', 'Check-in: 4:00 PM - 7:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'No commercial photography', 'No parties or events', 'No smoking']",14,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer']"
