city,state,coast,title,price,link,room_type,max_guests,num_rooms,num_beds,num_baths,rating,reviews,rating_Cleanliness,rating_Accuracy,rating_Communication,rating_Location,rating_Check-in,rating_Value,superhost,house_rules,num_of_amenities,available_amenities
Seattle,Washington,West,Yellow Jasper Vacation Studio,"$15 
night
$15 per night",https://www.airbnb.com/rooms/873321652685888230?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2024-04-01&check_out=2024-04-07&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Guest suite in Kent,1,1,1,1.0,-,-,-,-,-,-,-,-,-,"['1 guest maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with smart lock', 'Commercial photography allowed', 'No parties or events', 'No smoking']",45,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises']"
Seattle,Washington,West,"Lilac In Law, Picturesque lower unit","$81 
night
$81 per night",https://www.airbnb.com/rooms/878362061551147886?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-13&check_out=2023-05-18&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Apartment in Seattle,2,1,1,1.0,-,-,-,-,-,-,-,-,-,"['2 guests maximum', 'No pets', 'Check-in: 3:00 PM - 12:00 AM', 'Checkout before 10:00 AM', 'Self check-in with smart lock', 'No commercial photography', 'No parties or events', 'No smoking']",39,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'TV']"
Seattle,Washington,West,B35 - Lovely 1 Bedroom APT ♪ Parking ♫ Queen Bed,"$64 
night
$64 per night",https://www.airbnb.com/rooms/629981934190586091?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Apartment in Seattle,3,1,1,1.0,4.52 ,31,4.4,4.6,4.8,4.3,4.8,4.4,-,"['3 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with keypad', 'No commercial photography', 'No parties or events', 'No smoking']",39,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 1 space', '50"" HDTV with Roku']"
Seattle,Washington,West,Cozy Bedroom 0rchid in U-District,"$46 
night
$46 per night",https://www.airbnb.com/rooms/879034304760515325?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-14&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Private room in Seattle,2,1,1,2.0,-,-,-,-,-,-,-,-,-,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 10:00 AM', 'Quiet hours', 'Self check-in with smart lock', 'No commercial photography', 'No parties or events', 'No smoking']",43,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV']"
Seattle,Washington,West,Overnight Mountain Co-living - Spacious - Room 3,"$57 
$30 
night
$30 per night, originally $57",https://www.airbnb.com/rooms/54222105?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Private room in Seattle,1,1,1,1.0,4.67 ,9,4.3,4.7,4.8,4.8,5.0,4.4,Superhost,"['1 guest maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 10:00 AM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",32,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV']"
Seattle,Washington,West,"Radiant, Low-Key Apartment in Georgetown","$136 
$102 
night
$102 per night, originally $136",https://www.airbnb.com/rooms/plus/20948220?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Apartment in Seattle,2,1,1,1.0,4.97 ,428,5.0,5.0,5.0,4.8,5.0,4.9,Superhost,"['2 guests maximum', 'Pets allowed', 'Check-in: 3:00 PM - 12:00 AM', 'Checkout before 10:00 AM', 'No parties or events', 'No smoking']",58,"['Kitchen', 'Fast wifi – 497 Mbps', 'Dedicated workspace', 'Free street parking', 'Pets allowed']"
Seattle,Washington,West,"Large room in LUX 3 story, work space+central loc.","$75 
$43 
night
$43 per night, originally $75",https://www.airbnb.com/rooms/615217016091004005?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Private room in Seattle,2,1,1,15.0,4.74 ,31,4.7,4.8,4.9,4.7,4.8,4.6,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Self check-in with smart lock', 'No parties or events', 'No smoking']",44,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'TV']"
Seattle,Washington,West,Queen room Cartagena inspired in West Seattle,"$55 
$47 
night
$47 per night, originally $55",https://www.airbnb.com/rooms/720532305259128033?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Private room in Seattle,2,1,1,1.0,5.0 ,7,5.0,5.0,5.0,5.0,5.0,5.0,Superhost,"['2 guests maximum', 'No pets', 'Check-in after 2:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with lockbox', 'Commercial photography allowed', 'No parties or events', 'No smoking']",25,"['Garden view', 'Courtyard view', 'Fast wifi – 727 Mbps', 'Dedicated workspace', 'Free parking on premises']"
Seattle,Washington,West,B33-Top Floor Home w/ Free Parking & Fast Wi-Fi,"$64 
night
$64 per night",https://www.airbnb.com/rooms/852051859702640026?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Apartment in Seattle,3,1,1,1.0,4.33 ,3,4.0,4.0,4.7,3.0,4.3,3.7,-,"['3 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with keypad', 'No commercial photography', 'No parties or events', 'No smoking']",48,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '50"" HDTV with Roku']"
Seattle,Washington,West,A Studio in Central Seattle,"$71 
$64 
night
$64 per night, originally $71",https://www.airbnb.com/rooms/829856209970556106?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Apartment in Seattle,0,0,0,0,-,-,-,-,-,-,-,-,-,[],0,"['', '', '', '', '']"
Seattle,Washington,West,Greenwood Queen Bed #6 w/ Private Bath,"$46 
night
$46 per night",https://www.airbnb.com/rooms/821239830612975606?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Private room in Seattle,2,1,1,1.0,5.0 ,4,5.0,5.0,5.0,5.0,5.0,5.0,-,"['2 guests maximum', 'No pets', 'Check-in: 3:00 PM - 11:00 PM', 'Checkout before 10:00 AM', 'Quiet hours', 'Self check-in with smart lock', 'No commercial photography', 'No parties or events', 'No smoking']",46,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV']"
Seattle,Washington,West,Blue House - Butterfly Room,"$41 
$37 
night
$37 per night, originally $41",https://www.airbnb.com/rooms/39320169?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Private room in Seattle,2,1,1,1.0,4.82 ,144,4.8,4.8,4.9,4.8,5.0,4.8,-,"['2 guests maximum', 'No pets', 'Check-in after 3:00 PM', 'Checkout before 12:00 PM', 'Self check-in with keypad', 'No parties or events', 'No smoking']",29,"['Wifi', 'Free street parking', 'Window AC unit', 'Hair dryer', 'Microwave']"
Seattle,Washington,West,Studio in heart of Capitol Hill – Apt D,"$152 
$73 
night
$73 per night, originally $152",https://www.airbnb.com/rooms/730971126112675161?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Condo in Seattle,4,1,2,1.0,3.88 ,8,4.1,4.0,4.8,4.9,4.5,3.5,-,"['4 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'No parties or events', 'No smoking']",21,"['Kitchen', 'Wifi', 'HDTV with Roku, standard cable', 'Air conditioning', 'Bathtub', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Smoke alarm\nSmoke alarm']"
Seattle,Washington,West,"Fresh & new 1br. Juke, king bed","$51 
$41 
night
$41 per night, originally $51",https://www.airbnb.com/rooms/878539314529787319?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=a123ef1a-900d-46b9-b30d-3c341208aa28,Apartment in Tacoma,3,1,1,1.0,-,-,-,-,-,-,-,-,Superhost,"['3 guests maximum', 'No pets', 'Check-in after 4:00 PM', 'Checkout before 11:00 AM', 'Quiet hours', 'Self check-in with smart lock', 'No commercial photography', 'No parties or events', 'No smoking']",50,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV']"
